# SPDX-License-Identifier: CECILL-C
# Copyright (c) 2026 Philippe Leduc
# physical_cpus=0,1,2,3,4,5,6,7,8,9,10,11
# smt_siblings=12,13,14,15,16,17,18,19,20,21,22,23
# seconds_per_case=0.250 repeats=3 invariant_tsc=1
threads	hold_cycles	outside_cycles	mode	median_ops_per_s	min_ops_per_s	max_ops_per_s
1	256	1024	global	1358252	1351721	1373789
1	256	1024	sharded	1389155	1380126	1407155
2	256	1024	global	2762781	2750547	2770984
2	256	1024	sharded	2800747	2770430	2820712
4	256	1024	global	5512398	5485576	5533465
4	256	1024	sharded	5746276	5737530	5752666
8	256	1024	global	2633594	2612204	2656981
8	256	1024	sharded	11290243	11284406	11290859
12	256	1024	global	2153253	2114178	2154168
12	256	1024	sharded	16740631	16733725	16755545
24	256	1024	global	1088380	221383	1700152
24	256	1024	sharded	32055415	32030890	32075534
1	256	8192	global	227428	224175	228172
1	256	8192	sharded	225140	223769	225479
2	256	8192	global	455112	454532	456141
2	256	8192	sharded	458285	457947	458399
4	256	8192	global	922150	918012	922184
4	256	8192	sharded	927074	926435	927299
8	256	8192	global	1806134	1804662	1807221
8	256	8192	sharded	1851382	1851300	1852463
12	256	8192	global	2707958	2698913	2710149
12	256	8192	sharded	2777480	2776967	2777677
24	256	8192	global	1037031	1029331	1809027
24	256	8192	sharded	5305936	5305365	5325116
1	512	1024	global	1173693	1172153	1175438
1	512	1024	sharded	1172198	1171051	1172871
2	512	1024	global	2327145	2325614	2331099
2	512	1024	sharded	2382727	2374551	2383563
4	512	1024	global	2992592	2988232	2992794
4	512	1024	sharded	4799513	4785523	4803361
8	512	1024	global	1955043	1901100	1965632
8	512	1024	sharded	9536522	9533973	9540488
12	512	1024	global	1691021	1690363	1709242
12	512	1024	sharded	14221711	14218041	14227246
24	512	1024	global	1335403	905076	1353635
24	512	1024	sharded	27878645	27545362	28164269
1	512	8192	global	221263	221122	221880
1	512	8192	sharded	221652	220002	221731
2	512	8192	global	445774	445688	446282
2	512	8192	sharded	446789	444523	446913
4	512	8192	global	891039	890004	893102
4	512	8192	sharded	898514	897893	899427
8	512	8192	global	1721464	1720439	1723830
8	512	8192	sharded	1797218	1796889	1798222
12	512	8192	global	2386003	2379717	2413586
12	512	8192	sharded	2696860	2695652	2697512
24	512	8192	global	1324328	1244515	1503536
24	512	8192	sharded	5351025	5125080	5353308
1	2048	1024	global	614210	613191	616994
1	2048	1024	sharded	606238	602910	609481
2	2048	1024	global	900619	896742	901683
2	2048	1024	sharded	1232268	1232060	1233836
4	2048	1024	global	877195	872335	878895
4	2048	1024	sharded	2483408	2482997	2484248
8	2048	1024	global	763113	747493	767754
8	2048	1024	sharded	4944219	4944066	4945705
12	2048	1024	global	717038	716919	720852
12	2048	1024	sharded	7404406	7399796	7405869
24	2048	1024	global	613794	573102	614780
24	2048	1024	sharded	14708890	14666321	14718484
1	2048	8192	global	188162	188029	188529
1	2048	8192	sharded	188620	187650	188668
2	2048	8192	global	378060	377255	379226
2	2048	8192	sharded	380584	379012	380872
4	2048	8192	global	757552	756737	757987
4	2048	8192	sharded	764866	764754	765336
8	2048	8192	global	787645	783645	791586
8	2048	8192	sharded	1530826	1529773	1531405
12	2048	8192	global	737776	732636	739359
12	2048	8192	sharded	2296861	2296518	2298052
24	2048	8192	global	578963	430630	604594
24	2048	8192	sharded	4565709	4564560	4569654
