# SPDX-License-Identifier: CECILL-C
# Copyright (c) 2026 Philippe Leduc
# physical_cpus=0,1,2,3
# smt_siblings=
# seconds_per_case=0.250 repeats=3 invariant_tsc=1
threads	hold_cycles	outside_cycles	mode	median_ops_per_s	min_ops_per_s	max_ops_per_s
1	256	1024	global	1451313	1450168	1452069
1	256	1024	sharded	1454391	1450722	1455933
2	256	1024	global	2838312	2837553	2844340
2	256	1024	sharded	2901693	2896040	2904764
4	256	1024	global	5414625	5413006	5424008
4	256	1024	sharded	5766345	5764641	5767784
1	256	8192	global	232811	232729	232921
1	256	8192	sharded	233216	232879	233241
2	256	8192	global	464428	464380	464787
2	256	8192	sharded	466374	466268	466902
4	256	8192	global	926819	926682	927547
4	256	8192	sharded	931265	931117	931535
1	512	1024	global	1216216	1215983	1221772
1	512	1024	sharded	1217314	1216925	1218010
2	512	1024	global	2391844	2391176	2398931
2	512	1024	sharded	2426822	2426309	2428388
4	512	1024	global	3011701	3004935	3016380
4	512	1024	sharded	4837959	4837180	4838723
1	512	8192	global	225702	225518	226510
1	512	8192	sharded	225623	225494	225676
2	512	8192	global	450667	449944	450692
2	512	8192	sharded	452090	451884	452116
4	512	8192	global	899197	898215	899876
4	512	8192	sharded	903027	902930	903151
1	2048	1024	global	627593	627139	629713
1	2048	1024	sharded	627729	626492	629803
2	2048	1024	global	915233	914944	915370
2	2048	1024	sharded	1253376	1250485	1253938
4	2048	1024	global	889409	889247	889434
4	2048	1024	sharded	2496017	2494884	2497170
1	2048	8192	global	192031	192008	192079
1	2048	8192	sharded	192004	191980	192711
2	2048	8192	global	382688	382633	383019
2	2048	8192	sharded	384474	384435	385393
4	2048	8192	global	762640	761888	763891
4	2048	8192	sharded	768546	768317	769370
