# SPDX-License-Identifier: CECILL-C
# Copyright (c) 2026 Philippe Leduc
# physical_cpus=4,5,6,7,8,9,10,11
# smt_siblings=
# seconds_per_case=0.250 repeats=3 invariant_tsc=1
threads	hold_cycles	outside_cycles	mode	median_ops_per_s	min_ops_per_s	max_ops_per_s
1	256	1024	global	1389563	1388679	1390231
1	256	1024	sharded	1389025	1388413	1391013
2	256	1024	global	2700564	2698747	2700564
2	256	1024	sharded	2792858	2782693	2798663
4	256	1024	global	4540804	4536880	4542037
4	256	1024	sharded	5607047	5602885	5607516
8	256	1024	global	3427085	3425097	3428999
8	256	1024	sharded	11185373	11181101	11203804
1	256	8192	global	231514	231503	231564
1	256	8192	sharded	231509	231488	231523
2	256	8192	global	459903	459901	459926
2	256	8192	sharded	463197	463150	463236
4	256	8192	global	920504	920428	920551
4	256	8192	sharded	926502	926461	926622
8	256	8192	global	1841024	1840939	1841434
8	256	8192	sharded	1854097	1854054	1854279
1	512	1024	global	1175358	1174700	1175699
1	512	1024	sharded	1174076	1173314	1174420
2	512	1024	global	2292506	2289708	2293310
2	512	1024	sharded	2351354	2348887	2352215
4	512	1024	global	2745561	2743229	2748189
4	512	1024	sharded	4707449	4705956	4707896
8	512	1024	global	2283151	2281379	2286240
8	512	1024	sharded	9441829	9380123	9445156
1	512	8192	global	224730	224723	224761
1	512	8192	sharded	224740	224725	224749
2	512	8192	global	446541	446457	446547
2	512	8192	sharded	449582	449499	449649
4	512	8192	global	893771	893718	893821
4	512	8192	sharded	899424	899313	899548
8	512	8192	global	1787166	1787081	1787593
8	512	8192	sharded	1801082	1800747	1801353
1	2048	1024	global	616398	616199	616777
1	2048	1024	sharded	616699	616660	617163
2	2048	1024	global	888974	888235	889349
2	2048	1024	sharded	1234888	1234756	1235147
4	2048	1024	global	874102	874099	874152
4	2048	1024	sharded	2469214	2468913	2469329
8	2048	1024	global	843149	841711	843879
8	2048	1024	sharded	4951943	4948006	4954129
1	2048	8192	global	191452	191396	191455
1	2048	8192	sharded	191558	191539	191588
2	2048	8192	global	381111	381066	381152
2	2048	8192	sharded	383121	383076	383121
4	2048	8192	global	762125	762107	762232
4	2048	8192	sharded	766352	766316	766363
8	2048	8192	global	867299	866920	867428
8	2048	8192	sharded	1534057	1534039	1534152
