kernel_cores	qemu_vcpus	rep	worker_yields	total_yields	wall_ms	span_ms	rate_per_s
1	2	1	2000000	2000000	240	240	8307472
1	2	2	2000000	2000000	244	244	8178170
1	2	3	2000000	2000000	241	241	8265805
2	2	1	2000000	4000000	447	446	8948532
2	2	2	2000000	4000000	445	445	8976621
2	2	3	2000000	4000000	447	447	8941659
4	4	1	2000000	8000000	968	968	8258100
4	4	2	2000000	8000000	959	959	8334985
4	4	3	2000000	8000000	990	990	8075477
8	8	1	2000000	16000000	5771	5771	2772072
8	8	2	2000000	16000000	6815	6815	2347679
8	8	3	2000000	16000000	6804	6804	2351311
12	12	1	2000000	24000000	11293	11293	2125040
12	12	2	2000000	24000000	11460	11460	2094100
12	12	3	2000000	24000000	11420	11420	2101406
