label	host_cpu_set	rep	kernel_cores	payload_bytes	calls	wall_ms	span_ms	overlap_ms	rate_per_s	lock_wait_p50_ns	lock_wait_p99_ns	lock_wait_max_ns	lock_wait_n	call_copy_avg_cycles	reply_copy_avg_cycles
fast1	0-1	1	1	8	50000	77	76	76	641643	0	0	0	0	25	28
fast1	0-1	1	1	256	50000	77	76	76	641577	0	0	0	0	37	34
fast1	0-1	2	1	8	50000	77	76	76	646756	0	0	0	0	25	27
fast1	0-1	2	1	256	50000	78	77	77	636669	0	0	0	0	36	34
fast1	0-1	3	1	8	50000	78	77	77	640028	0	0	0	0	30	28
fast1	0-1	3	1	256	50000	79	78	78	628824	0	0	0	0	35	34
fast2	0-1	1	2	8	100000	153	153	153	651466	87	635	53776	503369	27	26
fast2	0-1	1	2	256	100000	155	155	153	641905	79	635	399671	503372	36	36
fast2	0-1	2	2	8	100000	154	154	154	647957	79	636	31638	503366	27	27
fast2	0-1	2	2	256	100000	158	157	157	629750	79	636	517658	503380	37	36
fast2	0-1	3	2	8	100000	154	153	153	646138	79	634	20025	503360	27	27
fast2	0-1	3	2	256	100000	159	158	158	627296	79	634	494585	503391	37	36
fast4	0-3	1	4	8	200000	305	304	304	653631	699	2034	458108	1003835	27	27
fast4	0-3	1	4	256	200000	309	308	307	646828	699	2034	506218	1003869	36	36
fast4	0-3	2	4	8	200000	311	311	307	642924	763	2034	462085	1003837	27	27
fast4	0-3	2	4	256	200000	315	314	314	633781	763	2034	453143	1003847	37	37
fast4	0-3	3	4	8	200000	312	312	310	640617	704	2050	477251	1003842	27	27
fast4	0-3	3	4	256	200000	313	312	312	638181	704	2050	487916	1003847	37	37
mixed12	0-11	1	12	8	600000	2196	2194	2192	273203	7636	12218	1437198	3005753	38	38
mixed12	0-11	1	12	256	600000	2456	2454	2451	244265	7636	14254	4150722	3006719	51	51
mixed12	0-11	2	12	8	600000	2731	2729	2727	219646	7178	14356	36726970	3005857	39	38
mixed12	0-11	2	12	256	600000	2347	2345	2344	255566	7178	15381	2944650	3006484	51	51
mixed12	0-11	3	12	8	600000	2383	2380	2377	251722	7690	13330	7071977	3006442	38	38
mixed12	0-11	3	12	256	600000	2232	2232	2175	268743	7178	14356	2708391	3005794	51	51
slow1	4-5	1	1	8	50000	120	119	119	413885	0	0	0	0	42	42
slow1	4-5	1	1	256	50000	122	121	121	408869	0	0	0	0	57	56
slow1	4-5	2	1	8	50000	121	120	120	412579	0	0	0	0	42	42
slow1	4-5	2	1	256	50000	122	120	120	409754	0	0	0	0	57	57
slow1	4-5	3	1	8	50000	121	120	120	412019	0	0	0	0	42	43
slow1	4-5	3	1	256	50000	121	120	120	409857	0	0	0	0	57	56
slow2	4-5	1	2	8	100000	243	242	242	411127	144	1025	118706	503382	42	42
slow2	4-5	1	2	256	100000	245	244	244	406664	144	1025	33328	503385	56	56
slow2	4-5	2	2	8	100000	242	242	241	412395	128	1025	265396	503380	42	42
slow2	4-5	2	2	256	100000	246	245	245	405228	144	1025	33728	503402	56	56
slow2	4-5	3	2	8	100000	243	243	241	410968	128	1025	549934	503392	42	42
slow2	4-5	3	2	256	100000	245	244	244	406708	144	1025	31156	503392	56	57
slow4	4-7	1	4	8	200000	479	479	476	417467	1153	3075	366929	1003854	42	42
slow4	4-7	1	4	256	200000	481	480	480	415576	1153	3075	66587	1003858	56	56
slow4	4-7	2	4	8	200000	479	479	477	417418	1153	3075	30274	1003851	42	42
slow4	4-7	2	4	256	200000	483	482	482	413640	1153	3075	62842	1003865	57	57
slow4	4-7	3	4	8	200000	479	479	477	417064	1153	3075	324436	1003868	42	42
slow4	4-7	3	4	256	200000	480	479	479	415909	1153	3075	42168	1003862	56	56
slow8	4-11	1	8	8	400000	1090	1090	1085	366704	3331	7689	723239	2004800	42	42
slow8	4-11	1	8	256	400000	1098	1098	1093	364090	3331	7689	759872	2004824	58	58
slow8	4-11	2	8	8	400000	1085	1085	1079	368568	3331	7176	271775	2004785	42	42
slow8	4-11	2	8	256	400000	1089	1088	1088	367170	3331	7688	135947	2004808	58	57
slow8	4-11	3	8	8	400000	1076	1076	1074	371514	3331	7689	266702	2004791	42	42
slow8	4-11	3	8	256	400000	1081	1080	1080	369934	3331	7176	141405	2004822	57	57
