cores	host_cpu_set	rep	payload_bytes	calls	wall_ms	overlap_ms	rate_per_s
2	0-1	1	8	100000	98	96	1013825
2	0-1	1	256	100000	100	98	997279
2	0-1	2	8	100000	98	96	1012899
2	0-1	2	256	100000	98	97	1014750
2	0-1	3	8	100000	98	96	1019561
2	0-1	3	256	100000	100	98	997277
4	0-3	1	8	200000	102	100	1948337
4	0-3	1	256	200000	104	101	1918157
4	0-3	2	8	200000	102	101	1948172
4	0-3	2	256	200000	103	101	1929519
4	0-3	3	8	200000	102	101	1944456
4	0-3	3	256	200000	103	100	1941097
8	4-11	1	8	400000	169	164	2358872
8	4-11	1	256	400000	169	165	2353038
8	4-11	2	8	400000	169	164	2360121
8	4-11	2	256	400000	169	165	2358564
8	4-11	3	8	400000	169	164	2362534
8	4-11	3	256	400000	170	165	2351504
12	0-11	1	8	600000	210	166	2850847
12	0-11	1	256	600000	209	169	2859627
12	0-11	2	8	600000	211	167	2830667
12	0-11	2	256	600000	209	170	2860109
12	0-11	3	8	600000	210	166	2854960
12	0-11	3	256	600000	209	168	2866923
