cores	host_cpu_set	remote_pairs	mode	rep	payload_bytes	calls	wall_ms	overlap_ms	rate_per_s	local_rate_per_s	remote_rate_per_s
4	0-3	1	base	1	8	200000	1133	599	176488	201521	44162
4	0-3	1	base	1	256	200000	1142	618	174979	196894	43746
4	0-3	1	base	2	8	200000	1130	597	176889	201190	44223
4	0-3	1	base	2	256	200000	1138	615	175608	198519	43937
4	0-3	1	base	3	8	200000	1139	601	175498	200073	43883
4	0-3	1	base	3	256	200000	1146	602	174410	198309	43642
4	0-3	1	local	1	8	200000	1096	414	182465	225238	45621
4	0-3	1	local	1	256	200000	1094	416	182655	220246	45703
4	0-3	1	local	2	8	200000	1106	416	180724	223075	45186
4	0-3	1	local	2	256	200000	1111	426	179928	216078	45027
4	0-3	1	local	3	8	200000	1095	406	182497	222922	45666
4	0-3	1	local	3	256	200000	1108	416	180436	220097	45151
12	0-11	1	base	1	8	600000	3832	3096	156563	156074	13050
12	0-11	1	base	1	256	600000	3869	3139	155047	154606	12920
12	0-11	1	base	2	8	600000	3865	3129	155205	154700	12935
12	0-11	1	base	2	256	600000	3918	3188	153137	152592	12765
12	0-11	1	base	3	8	600000	3930	3204	152653	152205	12724
12	0-11	1	base	3	256	600000	4001	3277	149928	149154	12496
12	0-11	1	local	1	8	600000	1867	774	321358	374372	26782
12	0-11	1	local	1	256	600000	1877	772	319655	369105	26642
12	0-11	1	local	2	8	600000	1884	765	318417	373177	26552
12	0-11	1	local	2	256	600000	1900	771	315684	364845	26315
12	0-11	1	local	3	8	600000	1876	773	319684	372599	26652
12	0-11	1	local	3	256	600000	1905	781	314830	362751	26241
12	0-11	6	base	1	8	600000	8928	7371	67203	34886	33602
12	0-11	6	base	1	256	600000	8990	7429	66738	34790	33373
12	0-11	6	base	2	8	600000	9028	7519	66458	34701	33229
12	0-11	6	base	2	256	600000	9119	7592	65794	34181	32897
12	0-11	6	base	3	8	600000	9355	7753	64132	33344	32066
12	0-11	6	base	3	256	600000	9396	7778	63851	32946	31929
12	0-11	6	local	1	8	600000	7341	2526	81731	48376	40868
12	0-11	6	local	1	256	600000	7380	2589	81300	48328	40650
12	0-11	6	local	2	8	600000	7512	2510	79868	47123	39934
12	0-11	6	local	2	256	600000	7582	2522	79128	47137	39567
12	0-11	6	local	3	8	600000	7597	2538	78976	46533	39488
12	0-11	6	local	3	256	600000	7656	2520	78362	46339	39181
12	0-11	12	base	1	8	600000	13026	10611	46058	0	46058
12	0-11	12	base	1	256	600000	13121	10677	45726	0	45726
12	0-11	12	base	2	8	600000	13246	10774	45296	0	45296
12	0-11	12	base	2	256	600000	13298	10851	45118	0	45118
12	0-11	12	base	3	8	600000	13173	10679	45547	0	45547
12	0-11	12	base	3	256	600000	13228	10756	45355	0	45355
12	0-11	12	local	1	8	600000	14066	12423	42653	0	42653
12	0-11	12	local	1	256	600000	14098	12386	42557	0	42557
12	0-11	12	local	2	8	600000	14038	12367	42739	0	42741
12	0-11	12	local	2	256	600000	14125	12425	42475	0	42475
12	0-11	12	local	3	8	600000	14152	12512	42396	0	42396
12	0-11	12	local	3	256	600000	14205	12520	42235	0	42237
