label	host_cpu_set	rep	kernel_cores	payload_bytes	calls	wall_ms	span_ms	overlap_ms	rate_per_s	lock_wait_p50_ns	lock_wait_p99_ns	lock_wait_max_ns	lock_wait_n	call_copy_avg_cycles	reply_copy_avg_cycles
fast1	0-1	1	1	8	50000	78	77	77	638352	0	0	0	0	24	28
fast1	0-1	1	1	256	50000	78	77	77	635314	0	0	0	0	38	34
fast1	0-1	2	1	8	50000	77	76	76	641157	0	0	0	0	24	28
fast1	0-1	2	1	256	50000	78	77	77	639151	0	0	0	0	35	34
fast1	0-1	3	1	8	50000	77	76	76	642211	0	0	0	0	24	28
fast1	0-1	3	1	256	50000	79	78	78	625898	0	0	0	0	36	34
fast2	0-1	1	2	8	100000	153	152	152	649446	86	630	443918	503374	27	27
fast2	0-1	1	2	256	100000	156	155	155	640033	86	630	418134	503377	36	36
fast2	0-1	2	2	8	100000	155	155	154	643656	87	636	17647	503375	27	27
fast2	0-1	2	2	256	100000	158	157	157	630993	79	636	357668	503377	36	36
fast2	0-1	3	2	8	100000	156	156	154	638275	88	640	11485	503364	27	27
fast2	0-1	3	2	256	100000	159	159	157	628749	80	704	29501	503377	37	36
fast4	0-3	1	4	8	200000	306	305	304	653295	692	2014	1193886	1003849	27	27
fast4	0-3	1	4	256	200000	305	304	304	654932	692	2014	511796	1003853	37	36
fast4	0-3	2	4	8	200000	312	311	310	640935	763	2036	486227	1003825	27	27
fast4	0-3	2	4	256	200000	314	314	312	635206	763	2036	438366	1003856	37	37
fast4	0-3	3	4	8	200000	311	311	307	642647	699	1908	455880	1003836	27	27
fast4	0-3	3	4	256	200000	313	313	311	638494	699	2035	447204	1003849	37	37
mixed12	0-11	1	12	8	600000	2093	2093	2092	286558	7155	13288	487710	3005735	38	37
mixed12	0-11	1	12	256	600000	2123	2123	2121	282496	7155	12266	483697	3005768	51	51
mixed12	0-11	2	12	8	600000	2110	2110	2105	284342	7177	13330	566014	3005748	38	37
mixed12	0-11	2	12	256	600000	2123	2122	2121	282594	7177	12304	600221	3005771	51	51
mixed12	0-11	3	12	8	600000	2074	2074	2072	289284	6665	12305	531187	3005742	38	37
mixed12	0-11	3	12	256	600000	2093	2093	2091	286637	7178	13330	522645	3005789	51	51
slow1	4-5	1	1	8	50000	120	119	119	414096	0	0	0	0	43	42
slow1	4-5	1	1	256	50000	121	120	120	409954	0	0	0	0	56	57
slow1	4-5	2	1	8	50000	120	119	119	414048	0	0	0	0	42	42
slow1	4-5	2	1	256	50000	121	120	120	410359	0	0	0	0	56	56
slow1	4-5	3	1	8	50000	120	119	119	413946	0	0	0	0	42	42
slow1	4-5	3	1	256	50000	121	120	120	411483	0	0	0	0	56	56
slow2	4-5	1	2	8	100000	242	241	240	413216	128	1025	315819	503386	42	42
slow2	4-5	1	2	256	100000	246	245	245	405849	128	1025	20754	503385	56	57
slow2	4-5	2	2	8	100000	241	240	240	414165	128	1025	110220	503385	41	42
slow2	4-5	2	2	256	100000	244	243	243	408429	128	1025	41238	503387	56	56
slow2	4-5	3	2	8	100000	241	241	240	413525	128	1025	109658	503388	42	42
slow2	4-5	3	2	256	100000	246	245	245	406016	144	1025	40207	503389	56	56
slow4	4-7	1	4	8	200000	476	476	473	419825	1025	2819	379108	1003856	42	42
slow4	4-7	1	4	256	200000	483	483	482	413328	1153	3075	32198	1003842	57	56
slow4	4-7	2	4	8	200000	479	479	477	417045	1153	3075	145529	1003854	42	42
slow4	4-7	2	4	256	200000	481	480	480	415616	1025	2819	35791	1003852	56	56
slow4	4-7	3	4	8	200000	479	479	476	416948	1153	3075	436094	1003846	42	42
slow4	4-7	3	4	256	200000	483	483	480	413873	1153	3075	118890	1003865	57	57
slow8	4-11	1	8	8	400000	1086	1086	1081	368065	3331	6663	608278	2004807	42	42
slow8	4-11	1	8	256	400000	1088	1087	1086	367605	3331	7176	107485	2004803	58	58
slow8	4-11	2	8	8	400000	1075	1075	1071	372019	3075	7176	222042	2004783	42	42
slow8	4-11	2	8	256	400000	1081	1081	1078	369862	3075	7176	97915	2004804	57	57
slow8	4-11	3	8	8	400000	1084	1084	1081	368889	3331	6663	224273	2004805	42	42
slow8	4-11	3	8	256	400000	1084	1084	1081	368861	3331	7689	218887	2004818	58	57
